Tropidophorus sinicus	Tropidophorus sinicus	Tropidophorus	Other
Tscherskia triton	Tscherskia triton	Tscherskia	Mammal
Tupaia glis	Tupaia glis	Tupaia	Mammal
Turdus dissimilis	Turdus dissimilis	Turdus	Avian
Turdus philomelos	Turdus philomelos	Turdus	Avian
Tursiops truncatus	Tursiops truncatus	Tursiops	Mammal
Tylonycteris pachypus	Tylonycteris pachypus	Tylonycteris	Mammal
Tylonycteris robustula	Tylonycteris robustula	Tylonycteris	Mammal
Typhlomys cinereus	Typhlomys cinereus	Typhlomys	Mammal
Urocricetus kamensis	Urocricetus kamensis	Urocricetus	Mammal
Uropsilus gracilis	Uropsilus gracilis	Uropsilus	Mammal
Urva auropunctata	Urva auropunctata	Urva	Mammal
Vespadelus regulus	Vespadelus regulus	Vespadelus	Mammal
Vespertilio murinus	Vespertilio murinus	Vespertilio	Mammal
Vespertilio sinensis	Vespertilio sinensis	Vespertilio	Mammal
Volemys millicens	Volemys millicens	Volemys	Mammal
Vulpes vulpes	Vulpes vulpes	Vulpes	Mammal
Woodworthia maculata	Woodworthia maculata	Woodworthia	Other
Xenotilapia boulengeri	Xenotilapia boulengeri	Xenotilapia	Other
Xenotilapia melanogenys	Xenotilapia melanogenys	Xenotilapia	Other
Xenotilapia nasus	Xenotilapia nasus	Xenotilapia	Other
Zalophus californianus	Zalophus californianus	Zalophus	Mammal
Zeus faber	Zeus faber	Zeus	Other
Zosterops lateralis	Zosterops lateralis	Zosterops	Avian
