Coleura afra	Coleura afra	Coleura	Mammal
Coloeus monedula	Coloeus monedula	Coloeus	Avian
Columba	Columba	Columba	Avian
Columba livia	Columba livia	Columba	Avian
Columbidae	Columbidae	Columbidae	Avian
Coracias garrulus	Coracias garrulus	Coracias	Avian
Corvus	Corvus	Corvus	Avian
Corvus cornix	Corvus cornix	Corvus	Avian
Corvus frugilegus	Corvus frugilegus	Corvus	Avian
Corvus splendens	Corvus splendens	Corvus	Avian
Cricetomys gambianus	Cricetomys gambianus	Cricetomys	Mammal
Cricetulus barabensis	Cricetulus barabensis	Cricetulus	Mammal
Cricetulus longicaudatus	Cricetulus longicaudatus	Cricetulus	Mammal
Crocidura	Crocidura	Crocidura	Mammal
Crocidura attenuata	Crocidura attenuata	Crocidura	Mammal
Crocidura dracula	Crocidura dracula	Crocidura	Mammal
Crocidura fuliginosa	Crocidura fuliginosa	Crocidura	Mammal
Crocidura goliath	Crocidura goliath	Crocidura	Mammal
Crocidura lasiura	Crocidura lasiura	Crocidura	Mammal
Crocidura shantungensis	Crocidura shantungensis	Crocidura	Mammal
Crocidura suaveolens	Crocidura suaveolens	Crocidura	Mammal
Crocidura tanakae	Crocidura tanakae	Crocidura	Mammal
Crossorhombus sp.	None	None	Unknown
Cyanopica cyanus	Cyanopica cyanus	Cyanopica	Avian
Cygnus olor	Cygnus olor	Cygnus	Avian
Cynoglossus sp.	Cynoglossus sp.	Cynoglossus	Other
Cynopterus sphinx	Cynopterus sphinx	Cynopterus	Mammal
Dascyllus reticulatus	Dascyllus reticulatus	Dascyllus	Other
Dendrocygna javanica	Dendrocygna javanica	Dendrocygna	Avian
Desmodus rotundus	Desmodus rotundus	Desmodus	Mammal
Dicentrarchus labrax	Dicentrarchus labrax	Dicentrarchus	Other
Duttaphrynus melanostictus	Duttaphrynus melanostictus	Duttaphrynus	Other
Echelus uropterus	Echelus uropterus	Echelus	Other
Eidolon dupreanum	Eidolon dupreanum	Eidolon	Mammal
Eidolon helvum	Eidolon helvum	Eidolon	Mammal
Eolophus roseicapilla	Eolophus roseicapilla	Eolophus	Avian
Eonycteris spelaea	Eonycteris spelaea	Eonycteris	Mammal
Eothenomys cachinus	Eothenomys cachinus	Eothenomys	Mammal
Eothenomys miletus	Eothenomys miletus	Eothenomys	Mammal
Episoriculus caudatus	Episoriculus caudatus	Episoriculus	Mammal
Episoriculus leucops	Episoriculus leucops	Episoriculus	Mammal
Equus asinus	Equus asinus	Equus	Mammal
Eumetopias jubatus	Eumetopias jubatus	Eumetopias	Mammal
Eviota sp.	Eviota sp.	Eviota	Other
Feliformia	Feliformia	Feliformia	Mammal
Felis catus	Felis catus	Felis	Mammal
Gallus gallus	Gallus gallus	Gallus	Avian
Gallus gallus gallus	Gallus gallus gallus	Gallus	Avian
Gambusia holbrooki	Gambusia holbrooki	Gambusia	Other
Gekko chinensis	Gekko chinensis	Gekko	Other
Gekko similignum	Gekko similignum	Gekko	Other
Gobiomorphus cotidianus	Gobiomorphus cotidianus	Gobiomorphus	Other
Gonorynchus abbreviatus	Gonorynchus abbreviatus	Gonorynchus	Other
Gorilla gorilla gorilla	Gorilla gorilla gorilla	Gorilla	Mammal
Gyps himalayensis	Gyps himalayensis	Gyps	Avian
Heimyscus fumosus	Heimyscus fumosus	Heimyscus	Mammal
Helicolenus barathri	Helicolenus barathri	Helicolenus	Other
Hemidactylus bowringii	Hemidactylus bowringii	Hemidactylus	Other
Hemidactylus frenatus	Hemidactylus frenatus	Hemidactylus	Other
Hemitriakis japanica	Hemitriakis japanica	Hemitriakis	Other
Hemitrygon akajei	Hemitrygon akajei	Hemitrygon	Other
Heteronotia binoei	Heteronotia binoei	Heteronotia	Other
Heteronotia planiceps	Heteronotia planiceps	Heteronotia	Other
Hierococcyx sparverioides	Hierococcyx sparverioides	Hierococcyx	Avian
Hime japonica	Hime japonica	Hime	Other
Hippocampus erectus	Hippocampus erectus	Hippocampus	Other
Hipposideros	Hipposideros	Hipposideros	Mammal
Hipposideros armiger	Hipposideros armiger	Hipposideros	Mammal
