organism	group
Porcupine astrovirus 6	MamaAstV
Porcupine astrovirus 7	MamaAstV
Porcupine astrovirus Hb/LP077/Guangxi	MamaAstV
Porcupine astrovirus Hb/LP083/Guangxi	MamaAstV
Porcupine astrovirus Hb/LP084/Guangxi	MamaAstV
Porcupine astrovirus Hb/LP092/Guangxi	MamaAstV
Porcupine astrovirus Hb/LP102/Guangxi	MamaAstV
Rabbit astrovirus	MamaAstV
Rabbit astrovirus TN/2208/2010	MamaAstV
Raccoon dog astrovirus	MamaAstV
Raccoon dog astrovirus 1	MamaAstV
Raccoon dog astrovirus 2	MamaAstV
Raccoon dog astrovirus 3	MamaAstV
Raccoon dog astrovirus 4	MamaAstV
Rat mamastrovirus	MamaAstV
Shrew astrovirus	MamaAstV
Shrew astrovirus Ca/FG184/Yunnan	MamaAstV
Shrew astrovirus El/FG102/Yunnan	MamaAstV
Shrew astrovirus El/FG159/Yunnan	MamaAstV
Sichuan mamastrovirus 1	MamaAstV
Sichuan mamastrovirus 10	MamaAstV
Sichuan mamastrovirus 11	MamaAstV
Sichuan mamastrovirus 12	MamaAstV
Sichuan mamastrovirus 5	MamaAstV
Sichuan mamastrovirus 6	MamaAstV
Sichuan mamastrovirus 7	MamaAstV
Sichuan mamastrovirus 8	MamaAstV
Sichuan mamastrovirus 9	MamaAstV
Squirrel astrovirus 1	MamaAstV
Squirrel astrovirus 2	MamaAstV
Steller sea lion astrovirus 1	MamaAstV
Tree shrew astrovirus	MamaAstV
Wufeng shrew astrovirus 1	MamaAstV
Wufeng shrew bastrovirus 1	MamaAstV
Wufeng shrew bastrovirus 2	MamaAstV
Wufeng shrew bastrovirus 3	MamaAstV
Wufeng shrew bastrovirus 4	MamaAstV
Xinjiang mamastrovirus 1	MamaAstV
Xinjiang mamastrovirus 2	MamaAstV
Xinjiang mamastrovirus 3	MamaAstV
Xinjiang mamastrovirus 4	MamaAstV
Xinjiang mamastrovirus 5	MamaAstV
Xinjiang mamastrovirus 6	MamaAstV
Xinjiang mamastrovirus 7	MamaAstV
Yak astrovirus	MamaAstV
Yunnan rodent mamastrovirus 1	MamaAstV
Yunnan rodent mamastrovirus 2	MamaAstV
Yunnan rodent mamastrovirus 3	MamaAstV
Yunnan rodent mamastrovirus 4	MamaAstV
Yunnan rodent mamastrovirus 5	MamaAstV
Yunnan shrew astrovirus 1	MamaAstV
Yunnan shrew mamastrovirus 1	MamaAstV
Yunnan shrew mamastrovirus 2	MamaAstV
Zhejiang mamastrovirus 1	MamaAstV
Zhejiang mamastrovirus 2	MamaAstV
Zhejiang mamastrovirus 3	MamaAstV
Zhejiang mamastrovirus 4	MamaAstV
Bovine astrovirus	BovineAstV
Bovine astrovirus B161-1	BovineAstV
Bovine astrovirus B161-2	BovineAstV
Bovine astrovirus B170/HK	BovineAstV
Bovine astrovirus B18/HK	BovineAstV
Bovine astrovirus B34/HK	BovineAstV
Bovine astrovirus B76-2/HK	BovineAstV
Bovine astrovirus B76/HK	BovineAstV
Bovine astrovirus CH13	BovineAstV
Bovine astrovirus CH13/NeuroS1	BovineAstV
Bovine astrovirus NeuroS1	BovineAstV
Beihai fish astrovirus 1	FishAstV
Eastern mosquitofish bastrovirus	FishAstV
Eastern red scorpionfish astrovirus	FishAstV
Eastern sea garfish astrovirus	FishAstV
Murray-Darling rainbowfish astrovirus	FishAstV
Myotis ricketti associated fish astrovirus	FishAstV
Spot-less plunderfish astrovirus	FishAstV
Wenling banjofish astrovirus	FishAstV
Wenling bighead beaked sandfish astrovirus	FishAstV
Wenling japanese thread-sail fish astrovirus	FishAstV
Wenling longspine snipefish astrovirus	FishAstV
Wenling snipefish astrovirus	FishAstV
Yancheng grey stingfish astrovirus	FishAstV
