organism	group
Astrovirus BatAstV M.nat/GER	BatAstV
Astrovirus BatAstV P.aur/GER	BatAstV
Astrovirus wild boar/WBAstV-1/2011/HUN	BatAstV
Bastrovirus-like_virus/VietNam/Bat/17819_21	BatAstV
Bastrovirus/VietNam/Bat/16715_30	BatAstV
Bastrovirus/VietNam/Bat/16715_78	BatAstV
Bat astrovirus	BatAstV
Bat astrovirus 1	BatAstV
Bat astrovirus 10	BatAstV
Bat astrovirus 2	BatAstV
Bat astrovirus 3	BatAstV
Bat astrovirus 4	BatAstV
Bat astrovirus 5	BatAstV
Bat astrovirus 6	BatAstV
Bat astrovirus 7	BatAstV
Bat astrovirus 8	BatAstV
Bat astrovirus 9	BatAstV
Bat astrovirus AFCD166	BatAstV
Bat astrovirus AFCD88	BatAstV
Bat astrovirus BS1	BatAstV
Bat astrovirus BtSY1	BatAstV
Bat astrovirus BtSY2	BatAstV
Bat astrovirus BtSY3	BatAstV
Bat astrovirus BtSY4	BatAstV
Bat astrovirus BtSY5	BatAstV
Bat astrovirus GF-7a	BatAstV
Bat astrovirus Ha/Guangxi/HZ04/2007	BatAstV
Bat astrovirus Ha/Guangxi/L13/2007	BatAstV
Bat astrovirus Ha/Guangxi/LG02/2007	BatAstV
Bat astrovirus Ha/Guangxi/LG03/2007	BatAstV
Bat astrovirus Ha/Guangxi/LH10/2007	BatAstV
Bat astrovirus Ha/Guangxi/LS10/2007	BatAstV
Bat astrovirus Ha/Guangxi/LS11/2007	BatAstV
Bat astrovirus Ha/Guangxi/LY03/2007	BatAstV
Bat astrovirus Ha/Guangxi/LY07/2007	BatAstV
Bat astrovirus Ha/Guangxi/PD03/2007	BatAstV
Bat astrovirus Ha/Guangxi/TD03/2007	BatAstV
Bat astrovirus Ha/Guangxi/WW06/2007	BatAstV
Bat astrovirus Ha/QX48/Guangxi	BatAstV
Bat astrovirus Hi/Guangxi/PX05/2007	BatAstV
Bat astrovirus Hil/GX/bszt12	BatAstV
Bat astrovirus Hl/FG04/Hainan	BatAstV
Bat astrovirus Hl/FG05/Hainan	BatAstV
Bat astrovirus Hl/FG07/Hainan	BatAstV
Bat astrovirus Hl/FG10/Hainan	BatAstV
Bat astrovirus Hl/FG14/Hainan	BatAstV
Bat astrovirus Hl/FG17/Hainan	BatAstV
Bat astrovirus Hl/FG19-1/Hainan	BatAstV
Bat astrovirus Hl/FG19-2/Hainan	BatAstV
Bat astrovirus Hl/FG19-3/Hainan	BatAstV
Bat astrovirus Hl/FK29-1/Guangxi	BatAstV
Bat astrovirus Hl/FK29-2/Guangxi	BatAstV
Bat astrovirus Hl/FK34/Guangxi	BatAstV
Bat astrovirus Hl/Guangxi/LD117/2007	BatAstV
Bat astrovirus Hl/Guangxi/PX05/2007	BatAstV
Bat astrovirus Hl/Guangxi/WT03/2007	BatAstV
Bat astrovirus Hl/LD34/Hainan	BatAstV
Bat astrovirus Hl/LD41/Hainan	BatAstV
Bat astrovirus Hl/MG24/Hainan	BatAstV
Bat astrovirus Hl/MG27/Hainan	BatAstV
Bat astrovirus Hl/MG30/Hainan	BatAstV
Bat astrovirus Hp/Guangxi/BZ9/2007	BatAstV
Bat astrovirus Hp/Guangxi/CJ04/2007	BatAstV
Bat astrovirus Hp/Guangxi/HY11/2007	BatAstV
Bat astrovirus Hp/Guangxi/LC01/2007	BatAstV
Bat astrovirus Hp/Guangxi/LC03/2007	BatAstV
Bat astrovirus Hp/Guangxi/LC08/2007	BatAstV
