# Manually curated annotations TSV file
# The TSV should not have a header and should have exactly three columns:
# id to match existing metadata, field name, and field value
# If there are multiple annotations for the same id and field, then the last value is used
# Lines starting with '#' are treated as comments
# Any '#' after the field value are treated as comments.
MW684832	note	ORF1a
MW684833	note	ORF1a
MW714406	note	ORF2
MW714407	note	ORF2
MW714408	note	ORF2
MW732145	note	genotype: 3
MW732146	note	genotype: 3
MW732147	note	genotype: 3
MW732148	note	genotype: 3
MW732149	note	genotype: 3
MW732150	note	genotype: 3
MW732151	note	genotype: 3
MW732152	note	genotype: 3
MW732153	note	genotype: 3
MW732154	note	genotype: 3
MW732155	note	genotype: 3
MW732156	note	genotype: 3
MW732157	note	genotype: 3
MW784069	note	metagenomic
MW784070	note	metagenomic
MW784071	note	metagenomic
MW784072	note	metagenomic
MW784073	note	metagenomic
MW784074	note	metagenomic
MW784075	note	metagenomic
MW784076	note	metagenomic
MW784077	note	metagenomic
MW784078	note	metagenomic
MW784079	note	metagenomic
EU143845	note	ORF2
EU143846	note	ORF2
EU143847	note	ORF2
EU143848	note	ORF2
EU143849	note	ORF2
EU143850	note	ORF2
EU143851	note	ORF2
EU161566	note	PCR_primers=fwd_name: Mon345
EU327559	note	genotype: 6
EU327560	note	genotype: 5
EU327561	note	genotype: 2
EU327562	note	genotype: 8
EU650331	note	ORF2
EU650332	note	ORF1B
EU668998	note	ORF1b
EU668999	note	ORF1b
EU669000	note	ORF1b
EU669001	note	ORF1b
EU669002	note	ORF1b
EU669003	note	ORF1b
EU669004	note	ORF1b
EU847144	note	ORF2
EU847145	note	ORF2
FJ004153	note	type: 1
FJ004154	note	type: 1
FJ004155	note	type: 1
FJ004156	note	type: 1
FJ004157	note	type: 1
FJ004158	note	type: 1
FJ004159	note	type: 1
FJ004160	note	type: 2
FJ004161	note	type: 2
FJ004162	note	type: 1
FJ004163	note	type: 1
FJ004164	note	type: 1
FJ004165	note	type: 2
FJ004166	note	type: 1
FJ004167	note	type: 1
FJ004168	note	type: 1
FJ004169	note	type: 8
FJ004170	note	type: 2
FJ004171	note	type: 1
FJ004172	note	type: 8
FJ004173	note	type: 4
FJ004174	note	type: 1
FJ004175	note	type: 1
FJ004176	note	type: 1
FJ004177	note	type: 4
FJ004178	note	type: 4
FJ004179	note	type: 4
FJ004180	note	type: 4
FJ004181	note	type: 4
FJ004182	note	type: 1
FJ004183	note	type: 2
FJ004184	note	type: 1
FJ004185	note	type: 8
FJ004186	note	type: 1
FJ004187	note	type: 1
FJ004188	note	type: 1
FJ004189	note	type: 1
FJ004190	note	type: 1
FJ004191	note	type: 3
FJ004192	note	type: 4
FJ004193	note	type: 1
FJ004194	note	type: 4
FJ004195	note	type: 2
FJ004196	note	type: 2
FJ004197	note	type: 4
FJ004198	note	type: 1
FJ004199	note	type: 4
FJ004200	note	type: 1
FJ004201	note	type: 1
FJ004202	note	type: 2
FJ004203	note	type: 2
FJ004204	note	type: 1
FJ004205	note	type: 2
FJ004206	note	type: 2
FJ004207	note	type: 4
FJ004208	note	type: 2
FJ004209	note	type: 4
FJ004210	note	type: 1
FJ004211	note	type: 1
FJ004212	note	type: 2
FJ004213	note	type: 2
FJ004214	note	type: 1
FJ004215	note	type: 4
FJ004216	note	type: 2
FJ004217	note	type: 1
FJ004218	note	type: 1
FJ004219	note	type: 1
FJ004220	note	type: 2
FJ004221	note	type: 1
FJ004222	note	type: 1
FJ004223	note	type: 1
FJ004224	note	type: 8
FJ004225	note	type: 4
FJ004226	note	type: 1
FJ004227	note	type: 1
FJ004228	note	type: 1
FJ004229	note	type: 1
FJ004230	note	type: 1
FJ004231	note	type: 1
FJ154761	note	ORF2
FJ154762	note	ORF2
FJ154763	note	ORF2
FJ154764	note	ORF2
FJ154765	note	ORF2
FJ154766	note	ORF2
FJ155801	note	ORF2
FJ155802	note	ORF2
FJ155803	note	ORF2
FJ155804	note	ORF2
FJ155805	note	ORF2
FJ155806	note	ORF2
FJ155807	note	ORF2
FJ155808	note	ORF2
FJ155809	note	ORF2
FJ155810	note	ORF2
FJ160480	note	ORF2
FJ160482	note	ORF2
FJ160483	note	ORF2
FJ165469	note	ORF2
FJ165470	note	ORF2
FJ165471	note	ORF2
FJ165472	note	ORF2
FJ165473	note	ORF2
FJ165474	note	ORF2
FJ165475	note	ORF2
FJ169457	note	ORF2
FJ169458	note	ORF2
FJ169459	note	ORF2
FJ169460	note	ORF2
FJ169461	note	ORF2
FJ169462	note	ORF2
FJ178641	note	PCR_primers=fwd_name: MCKPOL10, rev_name: MCKPOL11
FJ222451	note	ORF2
FJ227120	note	ORF1a
FJ227121	note	ORF1a
FJ227122	note	ORF1a
FJ227123	note	ORF1a
FJ227124	note	ORF2
FJ227125	note	ORF2
FJ227126	note	ORF2
FJ227127	note	ORF2
FJ375755	note	genotype: 1
FJ375756	note	genotype: 1
FJ375757	note	genotype: 1
FJ375758	note	genotype: 1
FJ375759	note	genotype: 1
FJ402983	note	ORF2
FJ430550	note	ORF1a
FJ430551	note	ORF1a
FJ430552	note	ORF1a
FJ430553	note	ORF1a
FJ430554	note	ORF1a
FJ430555	note	ORF1a
FJ430556	note	ORF1a
FJ430557	note	ORF1a
FJ430558	note	ORF1a
FJ430559	note	ORF1a
